study.name,year,group.name,n,d.pair,t.pair,df.pair,mdif.pair,sdif,stder.pair,mpre,sdpre,mpos,sdpos,r.prepos,rev.sign,rev.group,autoreg,post,control,outcome,time,control_type,measure
Brown,2017,NA,44,NA,NA,NA,NA,NA,NA,4.68,3.74,4.48,4.19,NA,TRUE,NA,NA,1,NA,4,2,1,4
Brown,2017,NA,44,NA,NA,NA,NA,NA,NA,4.68,3.74,3.78,5.43,NA,TRUE,NA,NA,2,NA,4,2,1,4
Brown,2017,NA,42,NA,NA,NA,NA,NA,NA,20.3,14.62,18.58,11.55,NA,TRUE,NA,NA,1,TRUE,1,2,1,1
Brown,2017,NA,42,NA,NA,NA,NA,NA,NA,20.3,14.62,22.62,14.23,NA,TRUE,NA,NA,2,TRUE,1,2,1,1
Brown,2017,NA,42,NA,NA,NA,NA,NA,NA,17.62,11.93,19.94,10.23,NA,TRUE,NA,NA,1,TRUE,2,2,1,2
Brown,2017,NA,42,NA,NA,NA,NA,NA,NA,17.62,11.93,17.46,10.08,NA,TRUE,NA,NA,2,TRUE,2,2,1,2
Brown,2017,NA,42,NA,NA,NA,NA,NA,NA,5.58,4.76,7.85,6.53,NA,TRUE,NA,NA,1,TRUE,3,2,1,3
Brown,2017,NA,42,NA,NA,NA,NA,NA,NA,5.58,4.76,5.87,4.92,NA,TRUE,NA,NA,2,TRUE,3,2,1,3
Brown,2017,NA,42,NA,NA,NA,NA,NA,NA,6.37,7.05,5.62,4.75,NA,TRUE,NA,NA,1,TRUE,4,2,1,4
Brown,2017,NA,42,NA,NA,NA,NA,NA,NA,6.37,7.05,4.45,4.39,NA,TRUE,NA,NA,2,TRUE,4,2,1,4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diab_a,2015,NA,20,NA,NA,NA,NA,NA,NA,0.31,0.39,0.02,0.06,NA,TRUE,NA,NA,1,NA,1,1,2,1
Diab_a,2015,NA,20,NA,NA,NA,NA,NA,NA,0.31,0.39,0.05,0.08,NA,TRUE,NA,NA,2,NA,1,4,2,1
Diab_a,2015,NA,20,NA,NA,NA,NA,NA,NA,3.54,1.21,1.38,0.89,NA,TRUE,NA,NA,1,NA,2,1,2,2
Diab_a,2015,NA,20,NA,NA,NA,NA,NA,NA,3.54,1.21,1.38,0.55,NA,TRUE,NA,NA,2,NA,2,4,2,2
Diab_a,2015,NA,19,NA,NA,NA,NA,NA,NA,0.16,0.27,0.12,0.19,NA,TRUE,NA,NA,1,NA,1,1,2,1
Diab_a,2015,NA,19,NA,NA,NA,NA,NA,NA,0.16,0.27,0.03,0.06,NA,TRUE,NA,NA,2,NA,1,4,2,1
Diab_a,2015,NA,19,NA,NA,NA,NA,NA,NA,2.85,1.99,1.22,0.43,NA,TRUE,NA,NA,1,NA,2,1,2,2
Diab_a,2015,NA,19,NA,NA,NA,NA,NA,NA,2.85,1.99,1.94,1.12,NA,TRUE,NA,NA,2,NA,2,4,2,2
Diab_a,2015,NA,18,NA,NA,NA,NA,NA,NA,0.23,0.39,0.07,0.12,NA,TRUE,NA,NA,1,TRUE,1,1,2,1
Diab_a,2015,NA,18,NA,NA,NA,NA,NA,NA,0.23,0.39,0.06,0.09,NA,TRUE,NA,NA,2,TRUE,1,4,2,1
Diab_a,2015,NA,18,NA,NA,NA,NA,NA,NA,3.08,1.57,1.53,0.64,NA,TRUE,NA,NA,1,TRUE,2,1,2,2
Diab_a,2015,NA,18,NA,NA,NA,NA,NA,NA,3.08,1.57,1.93,0.61,NA,TRUE,NA,NA,2,TRUE,2,4,2,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diab_b,2016,NA,21,NA,NA,NA,NA,NA,NA,0.21,0.28,0.22,0.44,NA,TRUE,NA,NA,1,FALSE,1,1,2,1
Diab_b,2016,NA,21,NA,NA,NA,NA,NA,NA,0.21,0.28,0.08,0.11,NA,TRUE,NA,NA,2,FALSE,1,4,2,1
Diab_b,2016,NA,21,NA,NA,NA,NA,NA,NA,1.61,1.5,0.87,0.82,NA,TRUE,NA,NA,1,FALSE,2,1,2,2
Diab_b,2016,NA,21,NA,NA,NA,NA,NA,NA,1.61,1.5,1.97,1.04,NA,TRUE,NA,NA,2,FALSE,2,4,2,2
Diab_b,2016,NA,16,NA,NA,NA,NA,NA,NA,0.12,0.25,0.15,9.24,NA,TRUE,NA,NA,1,TRUE,1,1,2,1
Diab_b,2016,NA,16,NA,NA,NA,NA,NA,NA,0.12,0.25,0.08,0.11,NA,TRUE,NA,NA,2,TRUE,1,4,2,1
Diab_b,2016,NA,16,NA,NA,NA,NA,NA,NA,1.13,0.92,0.62,0.43,NA,TRUE,NA,NA,1,TRUE,2,1,2,2
Diab_b,2016,NA,16,NA,NA,NA,NA,NA,NA,1.13,0.92,0.84,0.55,NA,TRUE,NA,NA,2,TRUE,2,4,2,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dlsk_Krlr,2013,NA,73,NA,NA,NA,NA,NA,NA,81.6,10.8,83.1,11.1,NA,NA,NA,NA,1,FALSE,1,2,0,1
Dlsk_Krlr,2013,NA,66,NA,NA,NA,NA,NA,NA,85.7,13.7,88.8,10.5,NA,NA,NA,NA,1,FALSE,2,2,0,2
Dlsk_Krlr,2013,NA,72,NA,NA,NA,NA,NA,NA,81.4,10.9,85,8.1,NA,NA,NA,NA,1,FALSE,1,2,0,1
Dlsk_Krlr,2013,NA,61,NA,NA,NA,NA,NA,NA,90.4,8.2,91.2,7.6,NA,NA,NA,NA,1,FALSE,2,2,0,2
Dlsk_Krlr,2013,NA,80,NA,NA,NA,NA,NA,NA,80.5,11.2,80.8,10.7,NA,NA,NA,NA,1,TRUE,1,2,0,1
Dlsk_Krlr,2013,NA,74,NA,NA,NA,NA,NA,NA,90.3,6.6,89.6,6.3,NA,NA,NA,NA,1,TRUE,2,2,0,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eki_diGnro,2019,NA,22,NA,NA,NA,NA,NA,NA,0.457,0.22,0.62,0.21,NA,TRUE,NA,NA,1,FALSE,1,1,1,1
Eki_diGnro,2019,NA,22,NA,NA,NA,NA,NA,NA,0.457,0.22,0.601,0.18,NA,TRUE,NA,NA,2,FALSE,1,4,1,1
Eki_diGnro,2019,NA,23,NA,NA,NA,NA,NA,NA,0.484,0.17,0.533,0.23,NA,TRUE,NA,NA,1,FALSE,1,1,1,1
Eki_diGnro,2019,NA,23,NA,NA,NA,NA,NA,NA,0.484,0.17,0.57,0.24,NA,TRUE,NA,NA,2,FALSE,1,4,1,1
Eki_diGnro,2019,NA,18,NA,NA,NA,NA,NA,NA,0.497,0.22,0.65,0.18,NA,TRUE,NA,NA,1,TRUE,1,1,1,1
Eki_diGnro,2019,NA,18,NA,NA,NA,NA,NA,NA,0.497,0.22,0.637,0.23,NA,TRUE,NA,NA,2,TRUE,1,4,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elis_Sh_Mur_Tak,2008,NA,11,NA,NA,NA,NA,NA,NA,0.734,0.076,0.822,0.15,NA,NA,NA,NA,1,FALSE,1,1,1,1
Elis_Sh_Mur_Tak,2008,NA,11,NA,NA,NA,NA,NA,NA,0.734,0.076,0.899,0.076,NA,NA,NA,NA,2,FALSE,1,3,1,1
Elis_Sh_Mur_Tak,2008,NA,13,NA,NA,NA,NA,NA,NA,0.623,0.153,0.829,0.155,NA,NA,NA,NA,1,FALSE,1,1,1,1
Elis_Sh_Mur_Tak,2008,NA,13,NA,NA,NA,NA,NA,NA,0.623,0.153,0.832,0.14,NA,NA,NA,NA,2,FALSE,1,3,1,1
Elis_Sh_Mur_Tak,2008,NA,11,NA,NA,NA,NA,NA,NA,0.588,0.238,0.74,0.218,NA,NA,NA,NA,1,TRUE,1,1,1,1
Elis_Sh_Mur_Tak,2008,NA,11,NA,NA,NA,NA,NA,NA,0.588,0.238,0.663,0.187,NA,NA,NA,NA,2,TRUE,1,3,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ev_Hart_StngKras,2011,NA,16,NA,NA,NA,NA,NA,NA,0.471,0.112,0.578,0.109,NA,NA,NA,NA,1,FALSE,1,2,1,1
Ev_Hart_StngKras,2011,NA,14,NA,NA,NA,NA,NA,NA,0.514,0.126,0.503,0.194,NA,NA,NA,NA,1,TRUE,1,2,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fazio,2001,NA,16,NA,NA,NA,NA,NA,NA,0.101,0.047,0.13,0.123,NA,TRUE,NA,NA,1,FALSE,1,2,1,1
Fazio,2001,NA,15,NA,NA,NA,NA,NA,NA,0.098,0.064,0.155,0.098,NA,TRUE,NA,NA,1,FALSE,1,2,1,1
Fazio,2001,NA,15,NA,NA,NA,NA,NA,NA,0.086,0.074,0.095,0.06,NA,TRUE,NA,NA,1,TRUE,1,2,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Frear_Chiu,2016,NA,12,NA,NA,NA,NA,NA,NA,72.38,13.72,86.32,12.05,NA,NA,NA,NA,1,FALSE,1,1,0,1
Frear_Chiu,2016,NA,12,NA,NA,NA,NA,NA,NA,72.38,13.72,84.4,10.09,NA,NA,NA,NA,2,FALSE,1,2,0,1
Frear_Chiu,2016,NA,14,NA,NA,NA,NA,NA,NA,69.84,16.66,87.37,11.67,NA,NA,NA,NA,1,FALSE,1,1,0,1
Frear_Chiu,2016,NA,14,NA,NA,NA,NA,NA,NA,69.84,16.66,83.55,13.18,NA,NA,NA,NA,2,FALSE,1,2,0,1
Frear_Chiu,2016,NA,16,NA,NA,NA,NA,NA,NA,64.1,20.2,65.86,31.09,NA,NA,NA,NA,1,TRUE,1,1,0,1
Frear_Chiu,2016,NA,16,NA,NA,NA,NA,NA,NA,64.1,20.2,62.94,29.32,NA,NA,NA,NA,2,TRUE,1,2,0,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guo,2015,NA,25,NA,NA,NA,NA,NA,NA,57.82,18.14,67.79,17.52,NA,NA,NA,NA,1,FALSE,1,1,1,1
Guo,2015,NA,25,NA,NA,NA,NA,NA,NA,57.82,18.14,65.11,17.74,NA,NA,NA,NA,2,FALSE,1,3,1,1
Guo,2015,NA,25,NA,NA,NA,NA,NA,NA,57.82,18.14,72.62,13.72,NA,NA,NA,NA,3,FALSE,1,4,1,1
Guo,2015,NA,24,NA,NA,NA,NA,NA,NA,60.41,16.44,72.96,14.12,NA,NA,NA,NA,1,FALSE,1,1,1,1
Guo,2015,NA,24,NA,NA,NA,NA,NA,NA,60.41,16.44,69.51,15.3,NA,NA,NA,NA,2,FALSE,1,3,1,1
Guo,2015,NA,24,NA,NA,NA,NA,NA,NA,60.41,16.44,64.49,19.08,NA,NA,NA,NA,3,FALSE,1,4,1,1
Guo,2015,NA,24,NA,NA,NA,NA,NA,NA,59.26,18.27,75.4,17.96,NA,NA,NA,NA,1,FALSE,1,1,1,1
Guo,2015,NA,24,NA,NA,NA,NA,NA,NA,59.26,18.27,66.43,18.5,NA,NA,NA,NA,2,FALSE,1,3,1,1
Guo,2015,NA,24,NA,NA,NA,NA,NA,NA,59.26,18.27,72.87,13.94,NA,NA,NA,NA,3,FALSE,1,4,1,1
Guo,2015,NA,24,NA,NA,NA,NA,NA,NA,56.54,17.59,75.08,13.37,NA,NA,NA,NA,1,FALSE,1,1,1,1
Guo,2015,NA,24,NA,NA,NA,NA,NA,NA,56.54,17.59,72.18,16.2,NA,NA,NA,NA,2,FALSE,1,3,1,1
