study.name,group,n,mpre,sdpre,mpos,sdpos,post,control,outcome,time_wk,treats
Elis_Sh_Mur_Tak,2,13,0.623,0.153,0.832,0.14,2,FALSE,1,4,3
Elis_Sh_Mur_Tak,3,11,0.588,0.238,0.74,0.218,1,TRUE,1,0,3
Elis_Sh_Mur_Tak,3,11,0.588,0.238,0.663,0.187,2,TRUE,1,4,3
Ev_Hart_StngKras,1,16,0.471,0.112,0.578,0.109,1,FALSE,1,1,35
Ev_Hart_StngKras,2,14,0.514,0.126,0.503,0.194,1,TRUE,1,1,35
Fazio,1,16,0.101,0.047,0.13,0.123,1,FALSE,1,1,NA
Fazio,2,15,0.098,0.064,0.155,0.098,1,FALSE,1,1,NA
Fazio,3,15,0.086,0.074,0.095,0.06,1,TRUE,1,1,NA
Frear_Chiu,1,12,72.38,13.72,86.32,12.05,1,FALSE,1,0,1
Frear_Chiu,1,12,72.38,13.72,84.4,10.09,2,FALSE,1,2,1
Frear_Chiu,2,14,69.84,16.66,87.37,11.67,1,FALSE,1,0,1
Frear_Chiu,2,14,69.84,16.66,83.55,13.18,2,FALSE,1,2,1
Frear_Chiu,3,16,64.1,20.2,65.86,31.09,1,TRUE,1,0,1
Frear_Chiu,3,16,64.1,20.2,62.94,29.32,2,TRUE,1,2,1
Guo,1,25,57.82,18.14,67.79,17.52,1,FALSE,1,0,1
Guo,1,25,57.82,18.14,65.11,17.74,2,FALSE,1,4,1
Guo,1,25,57.82,18.14,72.62,13.72,3,FALSE,1,12,1
Guo,2,24,60.41,16.44,72.96,14.12,1,FALSE,1,0,1
Guo,2,24,60.41,16.44,69.51,15.3,2,FALSE,1,4,1
Guo,2,24,60.41,16.44,64.49,19.08,3,FALSE,1,12,1
Guo,3,24,59.26,18.27,75.4,17.96,1,FALSE,1,0,1
Guo,3,24,59.26,18.27,66.43,18.5,2,FALSE,1,4,1
Guo,3,24,59.26,18.27,72.87,13.94,3,FALSE,1,12,1
Guo,4,24,56.54,17.59,75.08,13.37,1,FALSE,1,0,1
Guo,4,24,56.54,17.59,72.18,16.2,2,FALSE,1,4,1
Guo,4,24,56.54,17.59,68.99,20.02,3,FALSE,1,12,1
Guo,5,23,62.12,19.68,77.1,14.02,1,FALSE,1,0,1
Guo,5,23,62.12,19.68,71.74,15.75,2,FALSE,1,4,1
Guo,5,23,62.12,19.68,75.4,14.73,3,FALSE,1,12,1
Guo,6,27,68.8,14.66,69.81,14.63,2,TRUE,1,0,1
Guo,6,27,68.8,14.66,68.37,16.48,1,TRUE,1,4,1
Guo,6,27,68.8,14.66,69.3,20.15,3,TRUE,1,12,1
Hartshorn,1,28,79.66,16.05,84.81,15.28,1,FALSE,1,1,NA
Hartshorn,1,28,71.68,16.79,79.31,15.17,1,FALSE,2,1,NA
Hartshorn,1,28,95.8,5.17,97.86,3.05,1,FALSE,3,1,NA
Hartshorn,1,28,93.63,6.9,93.31,8.23,1,FALSE,4,1,NA
Hartshorn,2,19,86.62,15.05,79.44,17.14,1,TRUE,1,1,NA
Hartshorn,2,19,81.23,10,76.84,11.54,1,TRUE,2,1,NA
Hartshorn,2,19,96.07,4.58,96.47,3.52,1,TRUE,3,1,NA
Hartshorn,2,19,95.31,5.08,96.25,4.68,1,TRUE,4,1,NA
Harts_Evans,1,15,0.215,0.124,0.362,0.158,1,FALSE,1,1,8
Harts_Evans,2,12,0.156,0.116,0.164,0.094,1,TRUE,1,1,8
Jiang_Xiao,1,29,0.36,0.14,0.51,0.12,1,FALSE,1,0,2
Jiang_Xiao,1,29,0.36,0.14,0.53,0.09,2,FALSE,1,4,2
Jiang_Xiao,2,31,0.32,0.19,0.46,0.17,1,FALSE,1,0,2
Jiang_Xiao,2,31,0.32,0.19,0.47,0.13,2,FALSE,1,4,2
Jiang_Xiao,3,32,0.35,0.14,0.37,0.1,1,TRUE,1,0,2
Jiang_Xiao,3,32,0.35,0.14,0.37,0.1,2,TRUE,1,4,2
Karim_End.,1,24,32.75,20.68,24.95,16,1,FALSE,1,1,2
Karim_End.,1,24,32.75,20.68,11.5,11.72,2,FALSE,1,3,2
Karim_End.,1,24,32.75,20.68,16.2,14.33,3,FALSE,1,4,2
Karim_End.,2,23,40.95,18.75,18.52,13.18,1,FALSE,1,1,2
Karim_End.,2,23,40.95,18.75,8.65,9.69,2,FALSE,1,3,2
Karim_End.,2,23,40.95,18.75,11.78,20.63,3,FALSE,1,4,2
Karim_End.,3,18,28.22,19.41,35.5,23.73,1,FALSE,1,1,2
Karim_End.,3,18,28.22,19.41,19.88,13.49,2,FALSE,1,3,2
Karim_End.,3,18,28.22,19.41,30.33,18.86,3,FALSE,1,4,2
Karim_End.,4,21,24.52,20.82,24.61,18.79,1,TRUE,1,1,2
Karim_End.,4,21,24.52,20.82,21.23,18.07,2,TRUE,1,3,2
Karim_End.,4,21,24.52,20.82,21.52,17.93,3,TRUE,1,4,2
Karim_Nas.,1,14,NA,NA,NA,NA,1,FALSE,1,2,3
Karim_Nas.,2,13,NA,NA,NA,NA,1,FALSE,1,2,3
Karim_Nas.,3,14,NA,NA,NA,NA,1,FALSE,1,2,3
Karim_Nas.,4,12,NA,NA,NA,NA,1,TRUE,1,2,3
Kassim_Ng,1,30,71.04,9.63,77.8,9.55,1,FALSE,1,0,2
Kassim_Ng,1,30,71.04,9.63,78.27,9.28,2,FALSE,1,6,2
Kassim_Ng,2,30,72.17,9.43,81.77,7.09,1,FALSE,1,0,2
Kassim_Ng,2,30,72.17,9.43,81.3,6.81,2,FALSE,1,6,2
Kassim_Ng,3,30,71.13,9.99,70.37,8.19,1,TRUE,1,0,2
Kassim_Ng,3,30,71.13,9.99,70.2,8.21,2,TRUE,1,6,2
Mubarak,1,17,0.395,0.28,0.62,0.237,1,FALSE,1,0,12
Mubarak,1,17,0.395,0.28,0.52,0.205,2,FALSE,1,40,12
Mubarak,1,17,0.1,0.046,0.055,0.023,1,FALSE,2,0,12
Mubarak,1,17,0.1,0.046,0.062,0.027,2,FALSE,2,40,12
Mubarak,1,17,53.7,24.26,76.05,19.04,1,FALSE,3,0,12
Mubarak,1,17,53.7,24.26,67.17,20.1,2,FALSE,3,40,12
Mubarak,1,17,57.11,23.89,71.76,25.8,1,FALSE,4,0,12
Mubarak,1,17,57.11,23.89,63.76,19.25,2,FALSE,4,40,12
Mubarak,2,16,0.446,0.282,0.499,0.279,1,FALSE,1,0,12
Mubarak,2,16,0.446,0.282,0.513,0.195,2,FALSE,1,40,12
Mubarak,2,16,0.105,0.03,0.053,0.026,1,FALSE,2,0,12
Mubarak,2,16,0.105,0.03,0.056,0.025,2,FALSE,2,40,12
Mubarak,2,16,63.43,18.5,73.68,15.4,1,FALSE,3,0,12
Mubarak,2,16,63.43,18.5,67.75,14.43,2,FALSE,3,40,12
Mubarak,2,16,55.25,12.67,75.87,18.82,1,FALSE,4,0,12
Mubarak,2,16,55.25,12.67,65.62,9.84,2,FALSE,4,40,12
Mubarak,3,13,0.545,0.272,0.516,0.267,1,TRUE,1,0,12
Mubarak,3,13,0.545,0.272,0.436,0.204,2,TRUE,1,40,12
Mubarak,3,13,0.093,0.032,0.083,0.028,1,TRUE,2,0,12
Mubarak,3,13,0.093,0.032,0.078,0.032,2,TRUE,2,40,12
Mubarak,3,13,59.15,21.59,73.46,17.34,1,TRUE,3,0,12
Mubarak,3,13,59.15,21.59,67.07,13.41,2,TRUE,3,40,12
Mubarak,3,13,48.23,21.82,64.76,21.43,1,TRUE,4,0,12
Mubarak,3,13,48.23,21.82,61,14.66,2,TRUE,4,40,12
Munoz,1,25,13.02,7.62,9.79,7.11,1,FALSE,1,2,4
Munoz,2,22,10.75,5.33,11.51,4.94,1,FALSE,1,2,4
Munoz,3,15,10.76,5.54,10.85,6.13,1,TRUE,1,2,4
Nakazawa,1,15,NA,NA,NA,NA,1,FALSE,1,12,5
Nakazawa,2,16,NA,NA,NA,NA,1,FALSE,1,12,5
Nakazawa,3,17,NA,NA,NA,NA,1,FALSE,1,12,5
Nakazawa,4,10,NA,NA,NA,NA,1,TRUE,1,12,5
Nemati_etal,1,27,39.18,4.29,70.33,12.87,1,FALSE,1,1,4
Nemati_etal,1,27,39.18,4.29,57.59,12.66,2,FALSE,1,4,4
Nemati_etal,2,29,40.86,5.3,48.24,15.56,1,FALSE,1,1,4
Nemati_etal,2,29,40.86,5.3,35.48,11.76,2,FALSE,1,4,4
